plant_id,bus_id,Pg,status,Pmax,Pmin,ramp_30,type,region
SEMINOLE (FL)-BIT,120263,1,OP,1309.0,350.0,350.0,BIT,uncertain
AGUA FRIA-NG,308123,1,OP,626.0,73.0,73.0,NG,uncertain
AGUA FRIA-SUN,308123,1,OP,0.2, , ,SUN,Western
HORSE MESA-WAT,308123,1,OP,149.0,0,0,WAT,Western
KYRENE-NG,310313,1,OP,419.0,90.0,90.0,NG,Western
MORMON FLAT-WAT,310313,1,OP,68.8,0,0,WAT,Western
ROOSEVELT-WAT,310313,1,OP,36.0,0,0,WAT,Western
STEWART MOUNTAIN-WAT,310313,1,OP,13.0,0,0,WAT,Western
MCCLURE-DFO,310173,1,OP,53.5,20.0,20.0,DFO,Western
MCCLURE-NG,310173,1,OP,53.5,20.0,20.0,NG,Western
DAVIS DAM-WAT,310173,1,OP,254.8,0,0,WAT,Western
GLEN CANYON DAM-WAT,303089,1,OP,1312.0,0.0,0.0,WAT,Western
HOOVER DAM (NV)-WAT,303089,1,OP,1039.4,0,0,WAT,Western
LAKE CREEK DAM-WAT,,1,OP,1.0,,,WAT,Western
APACHE STATION-NG,306616,1,OP,175.0,50.0,50.0,NG,uncertain
APACHE STATION-SUB,306616,1,OP,175.0,50.0,50.0,SUB,uncertain
TURLOCK LAKE-WAT,306616,1,OP,3.3000000000000003,0,0,WAT,Western
HICKMAN-WAT,306616,1,OP,1.0,0,0,WAT,Western
GREC-NG,149257,1,OP,507.5,100.0,100.0,NG,uncertain
GREC-SUB,149257,1,OP,492.0,150.0,150.0,SUB,Eastern
CARPENTER-WAT,149981,1,OP,61.7,15.0,15.0,WAT,Eastern
LAKE CATHERINE-NG,149981,1,OP,522.0,0,0,NG,Eastern
REMMEL-WAT,158151,1,OP,11.399999999999999,1.0,1.0,WAT,Eastern
VOLTA 2-WAT,158151,1,OP,0.9,0,0,WAT,Western
BEAVER DAM-WAT,154726,1,OP,64.4,20.0,20.0,WAT,Eastern
DEGRAY-WAT,149966,1,OP,68.0,15.0,15.0,WAT,Eastern
GREERS FERRY LAKE-WAT,159892,1,OP,90.0,15.0,15.0,WAT,Eastern
MUNICIPAL LIGHT-DFO,121105,1,OP,7.200000000000001,0.6,0.6,DFO,Eastern
NARROWS (AR)-WAT,149973,1,OP,19.4,5.0,5.0,WAT,Eastern
NORFORK-WAT,161407,1,OP,80.0,10.0,10.0,WAT,Eastern
BLAKELY MOUNTAIN-WAT,121642,1,OP,75.0,20.0,20.0,WAT,Eastern
BULL SHOALS-WAT,161407,1,OP,370.0,10.0,10.0,WAT,Eastern
DARDANELLE-WAT,161407,1,OP,140.0,0,0,WAT,Eastern
THOMAS FITZHUGH-NG,154851,1,OP,162.0,65.0,65.0,NG,Eastern
CARL BAILEY-NG,154344,1,OP,122.0,25.0,25.0,NG,Eastern
MCCLELLAN (AR)-NG,142058,1,OP,134.0,35.0,35.0,NG,Eastern
CLINTON POWER STATION-NUC,156133,1,OP,1065.0,298.9,298.9,NUC,Eastern
WOLF CREEK GENERATING STATION-NUC,168725,1,OP,1225.0,50.0,50.0,NUC,Eastern
ALTA POWERHOUSE-WAT,309057,1,OP,1.0,0.0,0.0,WAT,Western
ANGELS-WAT,304398,1,OP,0.7,0.3,0.3,WAT,Western
BALCH 1-WAT,304398,1,OP,34.0,0,0,WAT,Western
BALCH 2-WAT,304398,1,OP,105.0,0,0,WAT,Western
BELDEN-WAT,306589,1,OP,125.0,0.0,0.0,WAT,Western
BUCKS CREEK-WAT,306589,1,OP,65.0,0,0,WAT,Western
BUTT VALLEY-WAT,306589,1,OP,41.0,0,0,WAT,Western
CARIBOU 1-WAT,306589,1,OP,75.0,0,0,WAT,Western
CARIBOU 2-WAT,306589,1,OP,120.0,0,0,WAT,Western
CHILI BAR-WAT,309850,1,OP,7.0,0.0,0.0,WAT,Western
COLEMAN PH-WAT,306950,1,OP,13.0,0.0,0.0,WAT,Western
COW CREEK-WAT,306950,1,OP,1.8,0,0,WAT,uncertain
CRESTA-WAT,306950,1,OP,70.0,0,0,WAT,Western
DE SABLA-WAT,307764,1,OP,18.5,0.0,0.0,WAT,Western
DEER CREEK PH-WAT,303556,1,OP,5.7,0.0,0.0,WAT,Western
DRUM 1-WAT,309057,1,OP,53.99999999999999,0.0,0.0,WAT,Western
DRUM 2-WAT,309057,1,OP,49.5,0.0,0.0,WAT,Western
DUTCH FLAT-WAT,309057,1,OP,22.0,0.0,0.0,WAT,Western
EL DORADO-WAT,309850,1,OP,20.8,2.5,2.5,WAT,Western
ELECTRA-WAT,308321,1,OP,98.0,0.0,0.0,WAT,Western
HAAS-WAT,308321,1,OP,144.0,0,0,WAT,Western
HALSEY-WAT,308556,1,OP,11.0,0.0,0.0,WAT,Western
HAT CREEK 1-WAT,300064,1,OP,8.5,0.0,0.0,WAT,Western
HAT CREEK 2-WAT,300064,1,OP,8.5,0.0,0.0,WAT,Western
HUMBOLDT BAY-NG,310653,1,OP,163.4,14.5,14.5,NG,Western
JAMES B BLACK-WAT,310853,1,OP,172.0,0.0,0.0,WAT,Western
KILARC-WAT,310853,1,OP,1.6,0,0,WAT,uncertain
KINGS RIVER PH-WAT,310853,1,OP,52.0,0,0,WAT,Western
MERCED FALLS-WAT,310489,1,OP,3.5,0.0,0.0,WAT,Western
DYNEGY MOSS LANDING POWER PLANT-NG,,1,OP,1020.0,,,NG,Western
MURPHYS-WAT,308813,1,OP,1.7,0.5,0.5,WAT,Western
NARROWS PH-WAT,310414,1,OP,12.0,0.0,0.0,WAT,Western
PHOENIX-WAT,308730,1,OP,2.0,0.0,0.0,WAT,Western
PIT 1-WAT,300064,1,OP,61.0,0.0,0.0,WAT,Western
PIT 3-WAT,300064,1,OP,69.9,0.0,0.0,WAT,Western
PIT 4-WAT,300064,1,OP,95.0,0,0,WAT,Western
PIT 5-WAT,300064,1,OP,160.0,0,0,WAT,Western
PIT 6-WAT,310853,1,OP,80.0,0.0,0.0,WAT,Western
PIT 7-WAT,310853,1,OP,113.0,0.0,0.0,WAT,Western
POE-WAT,310853,1,OP,120.0,0,0,WAT,Western
POTTER VALLEY-WAT,309613,1,OP,9.2,0.0,0.0,WAT,Western
ROCK CREEK-WAT,309613,1,OP,126.0,0,0,WAT,Western
SAN JOAQUIN 2-WAT,310419,1,OP,3.2,0.0,0.0,WAT,Western
SALT SPRINGS-WAT,307235,1,OP,44.0,0.0,0.0,WAT,Western
SOUTH-WAT,307235,1,OP,7.0,0,0,WAT,Western
SPAULDING 1-WAT,307235,1,OP,7.0,0,0,WAT,Western
SPAULDING 2-WAT,307235,1,OP,4.4,0,0,WAT,Western
SPAULDING 3-WAT,307235,1,OP,5.8,0,0,WAT,Western
SPRING GAP-WAT,309372,1,OP,7.0,0.0,0.0,WAT,Western
STANISLAUS-WAT,309372,1,OP,91.0,0,0,WAT,Western
GEYSERS UNIT 5-20-GEO,308511,1,OP,578.0,20.0,20.0,GEO,Western
TIGER CREEK-WAT,307235,1,OP,58.0,0.0,0.0,WAT,Western
VOLTA 1-WAT,307235,1,OP,9.0,0,0,WAT,Western
WEST POINT PH-WAT,307235,1,OP,14.5,0.0,0.0,WAT,Western
WISE-WAT,308556,1,OP,17.2,0.0,0.0,WAT,Western
A G WISHON-WAT,310419,1,OP,20.0,0.0,0.0,WAT,Western
COPCO 1-WAT,203339,1,OP,28.0,0.0,0.0,WAT,Western
COPCO 2-WAT,203339,1,OP,34.0,0.0,0.0,WAT,Western
FALL CREEK-WAT,203339,1,OP,1.9000000000000001,0.0,0.0,WAT,Western
IRON GATE-WAT,203339,1,OP,18.8,0.0,0.0,WAT,Western
LIMESTONE-SUB,308971,1,OP,1689.0,300.0,300.0,SUB,uncertain
BLUNDELL-GEO,209013,1,OP,32.0,4.0,4.0,GEO,Western
GREEN LAKE-WAT,209013,1,OP,18.6,0,0,WAT,uncertain
DROP 5-WAT,309012,1,OP,-999998.1, , ,WAT,Western
AES ALAMITOS LLC-NG,307373,1,OP,1997.0,70.0,70.0,NG,uncertain
BIG CREEK 1-WAT,307373,1,OP,88.4,0,0,WAT,Western
BIG CREEK 2-WAT,307373,1,OP,66.6,0,0,WAT,Western
BIG CREEK 3-WAT,310542,1,OP,173.5,3.6,3.6,WAT,Western
BIG CREEK 4-WAT,310419,1,OP,100.0,5.0,5.0,WAT,uncertain
BIG CREEK 8-WAT,310419,1,OP,70.8,0,0,WAT,Western
BIG CREEK 2A-WAT,310419,1,OP,100.0,0,0,WAT,Western
BISHOP CREEK 2-WAT,309390,1,OP,7.3,0.0,0.0,WAT,Western
BISHOP CREEK 3-WAT,309390,1,OP,8.399999999999999,0.0,0.0,WAT,Western
BISHOP CREEK 4-WAT,309390,1,OP,8.2,0.0,0.0,WAT,Western
BISHOP CREEK 5-WAT,309390,1,OP,3.8,0.1,0.1,WAT,Western
BISHOP CREEK 6-WAT,309390,1,OP,1.6,0.0,0.0,WAT,Western
BOREL-WAT,309651,1,OP,10.6,0.5,0.5,WAT,Western
FONTANA-WAT,308945,1,OP,3.0,0.0,0.0,WAT,Western
AES HUNTINGTON BEACH LLC-NG,306580,1,OP,451.6,20.0,20.0,NG,uncertain
KAWEAH 2-WAT,309068,1,OP,1.8,0.1,0.1,WAT,Western
KAWEAH 1-WAT,309068,1,OP,2.3,0.0,0.0,WAT,Western
KAWEAH 3-WAT,309068,1,OP,4.5,0.0,0.0,WAT,Western
KERN RIVER 3-WAT,308434,1,OP,40.2,0.8,0.8,WAT,Western
KERN RIVER 1-WAT,303106,1,OP,26.4,0.0,0.0,WAT,Western
LONG BEACH GENERATION LLC-NG,309853,1,OP,260.0,47.0,47.0,NG,Western
LUNDY-WAT,309902,1,OP,3.0,0.0,0.0,WAT,Western
MAMMOTH POOL-WAT,310419,1,OP,160.0,0.0,0.0,WAT,Western
ORMOND BEACH-NG,307843,1,OP,1491.0,50.0,50.0,NG,Western
POOLE-WAT,309902,1,OP,11.3,0.0,0.0,WAT,Western
PORTAL-WAT,309902,1,OP,10.8,0,0,WAT,Western
AES REDONDO BEACH LLC-NG,308844,1,OP,1310.0,130.0,130.0,NG,uncertain
RUSH CREEK-WAT,300006,1,OP,11.4,0.0,0.0,WAT,Western
MOUNTAINVIEW GENERATING STATION-NG,310858,1,OP,972.0,90.0,90.0,NG,Western
SANTA ANA 1-WAT,301653,1,OP,3.2,0.0,0.0,WAT,Western
SANTA ANA 3-WAT,301653,1,OP,3.1,0.0,0.0,WAT,Western
LOWER TULE RIVER-WAT,310733,1,OP,2.6,0.0,0.0,WAT,Western
COLUMBIA GENERATING STATION-NUC,200526,1,OP,1163.0,120.0,120.0,NUC,Western
PARDEE-WAT,307201,1,OP,27.700000000000003,5.0,5.0,WAT,Western
GRAYSON-NG,310379,1,OP,238.0,25.0,25.0,NG,Western
GRAYSON-LFG,310379,1,OP,18.0,7.0,7.0,LFG,Western
PRAIRIE RIVER-WAT,170849,1,OP,0.7,0.1,0.1,WAT,Eastern
DION R HOLM-WAT,303669,1,OP,156.8,0.0,0.0,WAT,Western
MOCCASIN-WAT,303669,1,OP,100.0,0,0,WAT,Western
R C KIRKWOOD-WAT,303669,1,OP,115.5,0.0,0.0,WAT,Western
JOLIET 29-NG,138219,1,OP,1036.0,120.0,120.0,NG,uncertain
DROP 2 (CA)-WAT,300726,1,OP,5.0,0.7,0.7,WAT,Western
DROP 3 (CA)-WAT,300726,1,OP,7.3,1.0,1.0,WAT,Western
DROP 4-WAT,300726,1,OP,19.1,1.0,1.0,WAT,Western
PILOT KNOB-WAT,310453,1,OP,-1999998.0,0.7,0.7,WAT,Western
EL CENTRO-NG,,1,OP,314.0,,,NG,uncertain
EL CENTRO-MWH,,1,OP,28.0,,,MWH,uncertain
SOLOMON GULCH-WAT,310453,1,OP,12.0,0,0,WAT,uncertain
BIG PINE CREEK-WAT,310453,1,OP,3.0,0,0,WAT,Western
CASTAIC-WAT,309730,1,OP,1674.5,2.0,2.0,WAT,Western
CONTROL GORGE-WAT,309390,1,OP,37.5,0.5,0.5,WAT,Western
COTTONWOOD-WAT,309390,1,OP,2.4,0,0,WAT,Western
FOOTHILL-WAT,306489,1,OP,8.6,0.1,0.1,WAT,Western
FRANKLIN (CA)-WAT,301156,1,OP,2.0,0.1,0.1,WAT,Western
HAIWEE-WAT,301156,1,OP,5.0,0,0,WAT,Western
HARBOR-NG,310179,1,OP,438.99999999999994,15.0,15.0,NG,Western
HAYNES-NG,307373,1,OP,1595.3999999999999,105.0,105.0,NG,Western
MIDDLE GORGE-WAT,309390,1,OP,37.5,0.5,0.5,WAT,Western
PLEASANT VALLEY HYDRO-WAT,309390,1,OP,2.7,0.3,0.3,WAT,Western
SAN FERNANDO-WAT,306489,1,OP,6.1,0.1,0.1,WAT,Western
SCATTERGOOD-NG,309553,1,OP,783.1,25.0,25.0,NG,Western
TOK-DFO,309553,1,OP,4.9,0,0,DFO,uncertain
